PSC	0	21ISO01	2659030	874965	588209	882769	580405	0	8.5	0	0	0	154820
PSC	0	06O01	2598167	791087	667389	881792	576684	0	5.5	0	0	0	220381
PSC	0	14O01	2588924	756392	796422	938275	614539	0	7.7	0	0	0	135286
PSC	0	23C01	2431038	714732	517685	750067	482350	0	3.2	0	0	0	613569
PSC	0	32O02	2702580	875894	494072	827397	542569	0	6.5	0	0	0	204478
PSC	0	41H01	2579876	771217	751662	921071	601808	0	6.7	0	0	0	174269
PSC	0	03ISO01	2684777	842552	614704	879399	577857	0	9.0	0	0	0	134991
PSC	0	21ISO03	2677302	875356	562359	867482	570233	0	8.3	0	0	0	162007
PSC	0	06O03	2620423	862449	601377	884994	578832	0	6.8	0	0	0	192775
PSC	0	14O03	2620598	802491	672383	891015	583859	0	6.5	0	0	0	181552
PSC	0	24C01	2628678	834787	586734	859244	562277	0	6.0	0	0	0	226825
PSC	0	33L01	2638738	853755	572551	861695	564611	0	6.5	0	0	0	211980
PSC	0	41H03	2617551	802850	703993	909963	596880	0	7.5	0	0	0	152630
PSC	0	05ISO01	2601653	828850	687805	916272	600383	0	8.0	0	0	0	158716
PSC	0	23ISO02	2665408	865934	595160	882220	578874	0	9.1	0	0	0	150522
PSC	0	07L02	2646325	869716	553318	860195	562839	0	5.9	0	0	0	207665
PSC	0	15C02	2656523	924871	520284	873072	572083	0	6.9	0	0	0	175346
PSC	0	25H01	2646064	866980	577359	873150	571189	0	6.9	0	0	0	186621
PSC	0	33L03	2617938	831839	661440	902236	591043	0	7.2	0	0	0	165807
PSC	0	42L02	2631217	806583	685179	901693	590069	0	7.6	0	0	0	154045
PSC	0	08ISO01	2642060	859693	588889	875763	572819	0	6.9	0	0	0	186382
PSC	0	08H01	2581234	793712	691126	897471	587367	0	5.3	0	0	0	210952
PSC	0	16C02	2699211	846289	552618	845858	553049	0	6.8	0	0	0	178906
PSC	0	25H03	2659710	875258	528205	848299	555164	0	6.0	0	0	0	213851
PSC	0	34C02	2616635	865055	615394	894060	586389	0	6.7	0	0	0	179940
PSC	0	43H01	2671531	807834	627731	866940	568625	0	6.4	0	0	0	169928
PSC	0	12ISO01	2656824	859871	577527	868549	568849	0	6.9	0	0	0	182802
PSC	0	08H03	2585208	829498	720834	935250	615082	0	7.3	0	0	0	141484
PSC	0	17L02	2674427	873235	545695	857394	561536	0	6.2	0	0	0	183667
PSC	0	26C02	2712852	887868	509163	843085	553946	0	7.2	0	0	0	167141
PSC	0	35H02	2596345	798410	715393	914549	599254	0	6.6	0	0	0	166876
PSC	0	43H03	2662758	822109	639655	883078	578686	0	7.1	0	0	0	152502
