ID,Generation,Productivity,Eclosion,Isoline,Treatment,Rescuer,Rescue
27,7,612,20,Iso 15,C,None,C
28,7,497,20,Iso 23,I,Iso 20,L
29,7,684,20,Iso 8,I,Iso 12,H
30,7,764,20,Iso 8,I,Iso 13,L
31,7,686,20,Iso 15,I,Iso 14,H
32,7,544,19,Iso 16,O,KSS,O
33,7,769,20,Iso 12,I,Iso 13,L
34,7,710,20,Iso 8,C,None,C
35,7,720,20,Iso 21,I,Iso 12,H
36,7,738,20,Iso 23,O,KSS,O
37,7,693,20,Iso 13,O,KSS,O
38,7,714,19,Iso 5,I,Iso 21,L
39,7,617,20,Iso 23,C,None,C
40,7,617,20,Iso 14,I,Iso 21,L
41,7,790,20,Iso 14,I,Iso 12,H
42,7,571,20,Iso 16,I,Iso 20,L
43,7,643,20,Iso 3,I,Iso 12,H
44,7,693,20,Iso 20,O,KSS,O
45,7,611,19,Iso 16,I,Iso 14,H
46,7,809,20,Iso 12,C,None,C
47,7,769,20,Iso 15,O,KSS,O
48,7,572,20,Iso 14,C,None,C
1,8,341,19,Iso 21,C,None,C
2,8,731,20,Iso 1,I,Iso 23,H
3,8,650,19,Iso 21,O,KSS,O
4,8,1001,19,Iso 12,O,KSS,O
5,8,814,20,Iso 1,O,KSS,O
6,8,812,20,Iso 8,O,KSS,O
7,8,808,19,Iso 15,I,Iso 20,L
8,8,521,20,Iso 13,I,Iso 23,H
9,8,748,20,Iso 5,I,Iso 23,H
10,8,779,17,Iso 3,O,KSS,O
11,8,501,14,Iso 23,I,Iso 14,H
12,8,663,20,Iso 1,I,Iso 21,L
13,8,608,19,Iso 5,O,KSS,O
14,8,713,19,Iso 14,O,KSS,O
15,8,546,20,Iso 13,C,None,C
16,8,635,19,Iso 1,C,None,C
17,8,611,20,Iso 21,I,Iso 20,L
18,8,559,20,Iso 3,C,None,C
19,8,684,19,Iso 3,I,Iso 13,L
20,8,420,20,Iso 20,I,Iso 13,L
21,8,456,13,Iso 20,I,Iso 14,H
22,8,514,19,Iso 13,I,Iso 21,L
23,8,629,18,Iso 5,C,None,C
24,8,529,20,Iso 20,C,None,C
25,8,744,20,Iso 12,I,Iso 23,H
26,8,715,20,Iso 16,C,None,C
27,8,503,15,Iso 15,C,None,C
28,8,394,18,Iso 23,I,Iso 20,L
29,8,706,20,Iso 8,I,Iso 12,H
30,8,749,20,Iso 8,I,Iso 13,L
31,8,782,20,Iso 15,I,Iso 14,H
32,8,659,20,Iso 16,O,KSS,O
33,8,920,19,Iso 12,I,Iso 13,L
34,8,776,18,Iso 8,C,None,C
35,8,767,20,Iso 21,I,Iso 12,H
36,8,850,20,Iso 23,O,KSS,O
37,8,616,18,Iso 13,O,KSS,O
38,8,675,20,Iso 5,I,Iso 21,L
39,8,605,20,Iso 23,C,None,C
40,8,531,20,Iso 14,I,Iso 21,L
41,8,692,20,Iso 14,I,Iso 12,H
42,8,687,20,Iso 16,I,Iso 20,L
43,8,739,19,Iso 3,I,Iso 12,H
44,8,521,18,Iso 20,O,KSS,O
45,8,539,20,Iso 16,I,Iso 14,H
46,8,837,20,Iso 12,C,None,C
47,8,725,20,Iso 15,O,KSS,O
48,8,691,20,Iso 14,C,None,C
1,9,404,None,Iso 21,C,None,C
2,9,839,None,Iso 1,I,Iso 23,H
3,9,692,None,Iso 21,O,KSS,O
4,9,710,None,Iso 12,O,KSS,O
5,9,921,None,Iso 1,O,KSS,O
6,9,728,None,Iso 8,O,KSS,O
7,9,954,None,Iso 15,I,Iso 20,L
8,9,774,None,Iso 13,I,Iso 23,H
9,9,797,None,Iso 5,I,Iso 23,H
10,9,939,None,Iso 3,O,KSS,O
11,9,771,None,Iso 23,I,Iso 14,H
12,9,722,None,Iso 1,I,Iso 21,L
13,9,693,None,Iso 5,O,KSS,O
14,9,730,None,Iso 14,O,KSS,O
15,9,592,None,Iso 13,C,None,C
16,9,621,None,Iso 1,C,None,C
17,9,659,None,Iso 21,I,Iso 20,L
18,9,728,None,Iso 3,C,None,C
19,9,604,None,Iso 3,I,Iso 13,L
20,9,470,None,Iso 20,I,Iso 13,L
21,9,589,None,Iso 20,I,Iso 14,H
22,9,609,None,Iso 13,I,Iso 21,L
23,9,510,None,Iso 5,C,None,C
24,9,519,None,Iso 20,C,None,C
25,9,734,None,Iso 12,I,Iso 23,H
26,9,633,None,Iso 16,C,None,C
27,9,608,None,Iso 15,C,None,C
28,9,549,None,Iso 23,I,Iso 20,L
29,9,706,None,Iso 8,I,Iso 12,H
30,9,848,None,Iso 8,I,Iso 13,L
31,9,750,None,Iso 15,I,Iso 14,H
32,9,549,None,Iso 16,O,KSS,O
33,9,772,None,Iso 12,I,Iso 13,L
34,9,823,None,Iso 8,C,None,C
35,9,712,None,Iso 21,I,Iso 12,H
36,9,753,None,Iso 23,O,KSS,O
37,9,620,None,Iso 13,O,KSS,O
